SampleName,Easting,Northing,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Tl_ppm,Pb_ppm,Bi_ppm,Th_ppm,U_ppm,P_ppm,Ti_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,As_ppm,Se_ppm,Mo_ppm,Ag_ppm,Cd_ppm,Sn_ppm,Sb_ppm,W_ppm,Hg_ppm
AS1-1,"554937","6833041","10.98","0.62",25.710000000000001,193.900000000000006,"52.05",250.520000000000010,18.430000000000000,57.430000000000000,11.900000000000000,"0.38",631.080000000000041,13.330000000000000,28.570000000000000,3.840000000000000,16.090000000000000,3.720000000000000,1.770000000000000,3.660000000000000,0.540000000000000,3.270000000000000,0.720000000000000,2.160000000000000,0.280000000000000,1.920000000000000,0.270000000000000,1.590000000000000,0.680000000000000,"0.32",1.990000000000000,<d/l,0.710000000000000,"0.14","435.02",8608.760000000000218,26.710000000000001,37.299999999999997,117.359999999999999,2.350000000000000,46.729999999999997,"0.21","0.92","0.36","0.14","0.04",2.700000000000000,"0.19",<d/l,<d/l
AS1-2,"554934","6833042","31.88","0.56",30.440000000000001,233.740000000000009,"62.75",162.479999999999990,18.859999999999999,84.799999999999997,13.800000000000001,"1.04",778.059999999999945,10.380000000000001,24.109999999999999,3.440000000000000,15.260000000000000,4.000000000000000,1.980000000000000,3.950000000000000,0.630000000000000,3.670000000000000,0.740000000000000,1.990000000000000,0.270000000000000,1.730000000000000,0.240000000000000,2.160000000000000,0.800000000000000,"0.39",2.120000000000000,"0.02",0.740000000000000,"0.15","724.63",10554.000000000000000,36.200000000000003,53.079999999999998,153.139999999999986,58.590000000000003,45.320000000000000,"0.28","1.18","0.35","0.34","0.05",3.790000000000000,"0.08",<d/l,<d/l
AS1-4,"554962","6833044","19","0.44",27.410000000000000,223.810000000000002,"70.17",312.720000000000027,45.570000000000000,85.140000000000001,13.730000000000000,"0.84",1122.319999999999936,26.570000000000000,64.629999999999995,9.039999999999999,40.320000000000000,9.770000000000000,3.320000000000000,10.180000000000000,1.540000000000000,8.400000000000000,1.680000000000000,4.660000000000000,0.550000000000000,3.370000000000000,0.460000000000000,2.430000000000000,0.810000000000000,"0.51",3.160000000000000,<d/l,1.160000000000000,"0.72","2039.94",11235.930000000000291,31.010000000000002,70.560000000000002,230.050000000000011,6.870000000000000,48.380000000000003,"5.35","2.36","0.81","0.25","0.04",2.420000000000000,"0.19","0.3",<d/l
AS1-5,"554982","6833043","31.78","0.39",35.689999999999998,234.150000000000006,"59.85",276.980000000000018,18.719999999999999,69.000000000000000,6.320000000000000,"1.31",219.830000000000013,6.460000000000000,14.350000000000000,1.920000000000000,8.029999999999999,2.260000000000000,0.730000000000000,2.880000000000000,0.510000000000000,3.270000000000000,0.700000000000000,2.170000000000000,0.320000000000000,2.070000000000000,0.300000000000000,1.880000000000000,0.310000000000000,"0.32",1.140000000000000,"0.02",1.480000000000000,"0.31","334.14",4500.439999999999600,179.110000000000014,53.649999999999999,437.180000000000007,290.500000000000000,64.870000000000005,"3.38","0.75","0.36","0.26","0.05",0.860000000000000,"0.96",<d/l,<d/l
AS1-6,"554986","6833043","33.17","0.32",33.030000000000001,233.419999999999987,"50.87",264.610000000000014,18.840000000000000,66.120000000000005,6.400000000000000,"1.16",194.710000000000008,6.660000000000000,14.830000000000000,1.970000000000000,8.380000000000001,2.460000000000000,0.740000000000000,3.000000000000000,0.510000000000000,3.360000000000000,0.740000000000000,2.190000000000000,0.310000000000000,2.070000000000000,0.290000000000000,1.810000000000000,0.330000000000000,"0.3",1.270000000000000,"0.15",1.350000000000000,"0.3","369.51",4664.829999999999927,161.639999999999986,57.250000000000000,1279.839999999999918,1511.829999999999927,65.739999999999995,"1.73","1.63","0.29","0.77","0.07",1.510000000000000,"1.43",<d/l,<d/l
AS1-7A,"554997","6836043","4.32",<d/l,22.859999999999999,150.090000000000003,"2.41",6.710000000000000,7.270000000000000,17.350000000000001,3.180000000000000,"0.69",3.310000000000000,1.760000000000000,4.180000000000000,0.600000000000000,2.790000000000000,0.900000000000000,0.370000000000000,1.260000000000000,0.220000000000000,1.430000000000000,0.340000000000000,0.960000000000000,0.150000000000000,0.880000000000000,0.140000000000000,0.690000000000000,0.090000000000000,"0.04",1.100000000000000,"0.02",0.520000000000000,"0.07","156.29",1804.440000000000055,594.789999999999964,104.040000000000006,1489.420000000000073,239.699999999999989,71.540000000000006,"5.09","0.37","0.12","0.18","0.04",2.910000000000000,"1.2","1.03",<d/l
AS1-8,"555006","6833038",<d/l,<d/l,21.770000000000000,123.069999999999993,"2.37",3.420000000000000,7.180000000000000,19.170000000000002,3.580000000000000,"0.32",4.810000000000000,2.010000000000000,4.670000000000000,0.650000000000000,3.040000000000000,0.940000000000000,0.290000000000000,1.290000000000000,0.240000000000000,1.550000000000000,0.320000000000000,1.060000000000000,0.160000000000000,0.930000000000000,0.130000000000000,0.680000000000000,0.110000000000000,<d/l,1.180000000000000,"0.04",0.440000000000000,"0.09","195.83",1708.470000000000027,674.570000000000050,109.540000000000006,1659.500000000000000,321.500000000000000,70.540000000000006,"0.73","0.87","0.05","0.15","0.03",22.340000000000000,"1.17","0.58",<d/l
AS1-9,"555014","6833044",<d/l,<d/l,20.770000000000000,118.849999999999994,"1.9",4.050000000000000,6.110000000000000,15.010000000000000,3.450000000000000,"0.29",5.030000000000000,1.670000000000000,3.800000000000000,0.560000000000000,2.510000000000000,0.870000000000000,0.290000000000000,1.050000000000000,0.190000000000000,1.310000000000000,0.300000000000000,0.930000000000000,0.150000000000000,0.850000000000000,0.120000000000000,0.550000000000000,0.100000000000000,<d/l,0.680000000000000,"0.04",0.380000000000000,"0.09","167.89",1458.259999999999991,621.629999999999995,102.739999999999995,1407.319999999999936,119.590000000000003,67.870000000000005,"0.24","0.66","0.04","0.12","0.02",0.610000000000000,"0.78","0.27",<d/l
AS1-10,"555025","6833044",<d/l,<d/l,18.219999999999999,100.469999999999999,"1.82",2.560000000000000,5.470000000000000,16.699999999999999,3.800000000000000,"0.21",3.550000000000000,1.540000000000000,3.500000000000000,0.490000000000000,2.250000000000000,0.660000000000000,0.230000000000000,0.890000000000000,0.170000000000000,1.140000000000000,0.240000000000000,0.690000000000000,0.100000000000000,0.630000000000000,0.100000000000000,0.700000000000000,0.080000000000000,<d/l,0.450000000000000,<d/l,0.500000000000000,"0.06","198.54",1337.279999999999973,817.789999999999964,111.900000000000006,1624.900000000000091,54.859999999999999,65.109999999999999,"0.25","0.44","0.06","0.08","0.02",1.320000000000000,"1.73","0.79",<d/l
AS1-11,"555071","6833039",<d/l,<d/l,15.920000000000000,82.439999999999998,"2.69",1.900000000000000,4.760000000000000,15.010000000000000,5.040000000000000,"0.32",7.830000000000000,1.510000000000000,3.410000000000000,0.520000000000000,2.320000000000000,0.700000000000000,0.220000000000000,0.860000000000000,0.160000000000000,1.110000000000000,0.240000000000000,0.730000000000000,0.150000000000000,0.630000000000000,0.100000000000000,0.620000000000000,0.090000000000000,"0.07",0.540000000000000,"0.07",0.400000000000000,"0.1","115.1",1007.919999999999959,731.940000000000055,117.310000000000002,1820.490000000000009,90.769999999999996,59.109999999999999,"0.21","0.73","0.09","0.08","0.02",5.890000000000000,"0.01",<d/l,<d/l
AS1-12,"555080","6833044",<d/l,<d/l,16.370000000000001,86.090000000000003,"2.63",2.810000000000000,4.790000000000000,15.220000000000001,5.150000000000000,"0.28",9.350000000000000,1.480000000000000,3.490000000000000,0.510000000000000,2.180000000000000,0.720000000000000,0.180000000000000,1.010000000000000,0.180000000000000,1.120000000000000,0.270000000000000,0.810000000000000,0.110000000000000,0.830000000000000,0.110000000000000,0.600000000000000,0.080000000000000,<d/l,1.490000000000000,"0.07",0.360000000000000,"0.09","131",932.370000000000005,727.399999999999977,113.609999999999999,1875.079999999999927,436.310000000000002,62.420000000000002,"0.14","0.35","0.12","0.21","0.03",6.890000000000000,"0.02",<d/l,<d/l
AS1-13,"555097","6833041",<d/l,<d/l,16.489999999999998,89.159999999999997,"2.99",4.660000000000000,4.600000000000000,14.320000000000000,4.880000000000000,"0.31",8.380000000000001,1.270000000000000,3.060000000000000,0.470000000000000,2.210000000000000,0.750000000000000,0.320000000000000,1.010000000000000,0.190000000000000,0.960000000000000,0.250000000000000,0.670000000000000,0.090000000000000,0.610000000000000,0.090000000000000,0.620000000000000,0.070000000000000,"0.1",1.220000000000000,"0.06",0.570000000000000,"0.09","126.02",920.539999999999964,673.220000000000027,121.159999999999997,1497.940000000000055,107.349999999999994,61.600000000000001,"0.18","0.66","0.08","0.06","0.04",5.920000000000000,"0.11",<d/l,<d/l
AS1-14,"555111","6833042",<d/l,<d/l,15.000000000000000,76.230000000000004,"3.62",3.150000000000000,4.680000000000000,13.720000000000001,3.780000000000000,"0.27",11.070000000000000,1.320000000000000,3.210000000000000,0.440000000000000,2.070000000000000,0.630000000000000,0.180000000000000,0.850000000000000,0.140000000000000,1.020000000000000,0.220000000000000,0.680000000000000,0.080000000000000,0.580000000000000,0.090000000000000,0.480000000000000,0.080000000000000,<d/l,0.780000000000000,"0.02",0.300000000000000,"0.06","130.96",971.909999999999968,423.279999999999973,115.569999999999993,1680.500000000000000,39.920000000000002,53.600000000000001,"0.11","0.34","0.08","0.06","0.01",1.160000000000000,<d/l,<d/l,<d/l
AS2-2,"554827","6832748","18.86","0.3",37.259999999999998,262.899999999999977,"26.81",244.159999999999997,20.070000000000000,39.939999999999998,4.960000000000000,"0.56",130.430000000000007,5.240000000000000,12.109999999999999,1.770000000000000,7.830000000000000,2.430000000000000,0.680000000000000,3.010000000000000,0.580000000000000,3.500000000000000,0.770000000000000,2.330000000000000,0.310000000000000,1.850000000000000,0.250000000000000,1.070000000000000,0.290000000000000,"0.16",1.610000000000000,"0.03",0.940000000000000,"0.19","316.83",4593.500000000000000,114.599999999999994,45.000000000000000,172.319999999999993,74.859999999999999,57.000000000000000,"0.25","0.29","0.17","0.14","0.03",0.780000000000000,"0.11",<d/l,<d/l
AS2-11,"554881","6832831","9.39","1.39",40.420000000000002,373.120000000000005,"2.87",442.470000000000027,29.840000000000000,136.280000000000001,19.379999999999999,<d/l,97.609999999999999,16.230000000000000,38.859999999999999,5.400000000000000,23.489999999999998,5.950000000000000,1.880000000000000,5.940000000000000,0.910000000000000,5.370000000000000,1.070000000000000,3.100000000000000,0.440000000000000,2.310000000000000,0.320000000000000,3.140000000000000,1.060000000000000,"0.08",3.240000000000000,<d/l,2.390000000000000,"0.53","1073.14",12943.819999999999709,38.680000000000000,51.180000000000000,59.100000000000001,49.030000000000001,109.189999999999998,"0.89","1.4","1.1","0.37","0.11",1.760000000000000,"0.22",<d/l,<d/l
AS3-1,"555402","6832999","19.16","0.61",33.859999999999999,268.310000000000002,"3.32",198.219999999999999,23.469999999999999,106.290000000000006,18.070000000000000,"0.42",107.040000000000006,12.250000000000000,29.940000000000001,4.180000000000000,18.210000000000001,4.560000000000000,1.600000000000000,4.750000000000000,0.750000000000000,4.400000000000000,0.920000000000000,2.630000000000000,0.350000000000000,2.090000000000000,0.310000000000000,2.660000000000000,1.030000000000000,"0.03",7.340000000000000,<d/l,1.320000000000000,"0.29","890.81",10269.750000000000000,49.649999999999999,50.219999999999999,91.060000000000002,168.280000000000001,140.099999999999994,"0.72","1.34","0.76","0.55","0.14",3.430000000000000,"0.04",<d/l,<d/l
AS3-3,"555341","6833015","29.85","0.33",42.869999999999997,261.290000000000020,"18.8",209.090000000000003,18.090000000000000,54.219999999999999,5.260000000000000,"0.66",309.579999999999984,5.560000000000000,12.590000000000000,1.750000000000000,7.750000000000000,2.110000000000000,0.630000000000000,2.770000000000000,0.500000000000000,3.190000000000000,0.680000000000000,2.050000000000000,0.290000000000000,1.860000000000000,0.260000000000000,1.650000000000000,0.290000000000000,"0.1",0.870000000000000,<d/l,1.330000000000000,"0.25","229.75",3876.769999999999982,224.659999999999997,47.729999999999997,216.479999999999990,250.800000000000011,58.579999999999998,"0.35",<d/l,"0.32","0.16","0.04",1.550000000000000,"0.42","0.35",<dI1
AS4-1,"554507","6833696",<d/l,"0.11",31.480000000000000,139.060000000000002,"2.36",7.670000000000000,7.600000000000000,22.640000000000001,5.260000000000000,"0.78",3.030000000000000,1.910000000000000,4.510000000000000,0.680000000000000,2.960000000000000,0.810000000000000,0.280000000000000,1.190000000000000,0.210000000000000,1.370000000000000,0.270000000000000,0.880000000000000,0.130000000000000,0.770000000000000,0.120000000000000,0.670000000000000,0.100000000000000,<d/l,1.050000000000000,"0.02",0.610000000000000,"0.12","156.97",2619.579999999999927,2048.730000000000018,79.060000000000002,768.509999999999991,53.799999999999997,62.090000000000003,"0.64",n/a,"1.08","0.1","0.31",0.400000000000000,"0.1",<dI1,<dI1
AS4-7B,"554561","6833493","2.33","1.09",10.230000000000000,98.780000000000001,"0.83",93.709999999999994,6.390000000000000,228.449999999999989,14.119999999999999,<d/l,35.159999999999997,10.619999999999999,19.340000000000000,2.160000000000000,7.270000000000000,1.100000000000000,1.030000000000000,1.260000000000000,0.140000000000000,0.910000000000000,0.200000000000000,0.690000000000000,0.110000000000000,0.890000000000000,0.170000000000000,6.560000000000000,0.910000000000000,<d/l,0.990000000000000,"0.01",19.430000000000000,"1.06","174.1",3691.030000000000200,67.930000000000007,6.280000000000000,27.719999999999999,3.590000000000000,9.670000000000000,"0.14",n/a,"0.17","0.11","0.37",1.950000000000000,<d/l,"0.21",<d/l
AS5-1,"555702","6834173","3.67","0.17",22.730000000000000,149.469999999999999,"5.34",11.279999999999999,7.490000000000000,23.770000000000000,6.120000000000000,"1.14",3.760000000000000,2.100000000000000,4.610000000000000,0.700000000000000,3.200000000000000,0.920000000000000,0.390000000000000,1.190000000000000,0.210000000000000,1.360000000000000,0.310000000000000,0.920000000000000,0.130000000000000,0.790000000000000,0.110000000000000,0.690000000000000,0.100000000000000,"0.07",0.950000000000000,"0.04",0.550000000000000,"0.11","159.86",3087.630000000000109,2679.960000000000036,75.219999999999999,884.090000000000032,89.879999999999995,67.769999999999996,"6.45",n/a,"0.41","0.13","0.31",12.310000000000000,"0.83","0.11",<d/l
AS5-10,"555649","6833819",<d/l,<d/l,13.840000000000000,103.680000000000007,"3.65",10.350000000000000,3.730000000000000,10.600000000000000,2.740000000000000,"0.21",8.070000000000000,1.250000000000000,2.810000000000000,0.400000000000000,1.670000000000000,0.480000000000000,0.200000000000000,0.750000000000000,0.120000000000000,0.730000000000000,0.170000000000000,0.600000000000000,0.100000000000000,0.530000000000000,0.060000000000000,0.330000000000000,0.060000000000000,"0.03",1.260000000000000,<d/l,0.380000000000000,"0.06",<d/l,824.990000000000009,815.909999999999968,114.060000000000002,1737.430000000000064,35.229999999999997,64.250000000000000,"0.2",<d/l,"0.1","0.04",<d/l,0.850000000000000,<d/l,<d/l,<d/l
AS6-8,"555318","6833783","19.9","1.05",20.449999999999999,184.599999999999994,"39.94",379.110000000000014,24.379999999999999,170.710000000000008,10.070000000000000,"0.42",628.240000000000009,36.009999999999998,67.609999999999999,8.289999999999999,28.920000000000002,5.350000000000000,1.240000000000000,4.930000000000000,0.670000000000000,3.950000000000000,0.790000000000000,2.360000000000000,0.410000000000000,2.210000000000000,0.330000000000000,4.210000000000000,0.630000000000000,"0.41",4.730000000000000,"0.08",15.820000000000000,"3.59","245.06",4018.559999999999945,88.579999999999998,20.510000000000002,146.159999999999997,58.369999999999997,74.769999999999996,"0.48","0.99","0.59","0.4","0.09",0.840000000000000,"0","0.48",<d/l
AS7-1,"555517","6834456","7.88","0.17",41.600000000000001,221.250000000000000,"15.69",160.530000000000001,11.350000000000000,28.949999999999999,4.600000000000000,"0.37",53.960000000000001,2.070000000000000,5.250000000000000,0.830000000000000,4.030000000000000,1.190000000000000,0.530000000000000,1.860000000000000,0.360000000000000,2.260000000000000,0.480000000000000,1.360000000000000,0.190000000000000,1.190000000000000,0.180000000000000,1.000000000000000,0.110000000000000,"0.16",0.700000000000000,"0.02",0.680000000000000,"0.11","112.74",3341.889999999999873,151.840000000000003,23.340000000000000,80.500000000000000,81.700000000000003,33.210000000000001,"1.05",n/a,<d/l,"0.09","0.31",0.500000000000000,"0.49","0.28",<d/l
AS7-8,"555992","6834158","71.59","0.2",29.440000000000001,203.330000000000013,"1.21",10.970000000000001,11.170000000000000,39.030000000000001,4.780000000000000,<d/l,7.680000000000000,2.870000000000000,7.040000000000000,1.000000000000000,4.490000000000000,1.360000000000000,0.490000000000000,2.060000000000000,0.300000000000000,2.060000000000000,0.450000000000000,1.310000000000000,0.190000000000000,1.230000000000000,0.180000000000000,0.990000000000000,0.130000000000000,<d/l,0.480000000000000,<d/l,0.880000000000000,"0.17","224.75",2792.099999999999909,2020.390000000000100,63.039999999999999,658.340000000000032,17.890000000000001,89.609999999999999,"2.26",n/a,"0.68","0.11","0.29",0.480000000000000,"0.54","0.21",<d/l
AS7-9,"556027","6834145","2.23","1.49",12.990000000000000,103.310000000000002,"1.9",126.379999999999995,17.460000000000001,210.400000000000006,11.970000000000001,<d/l,68.150000000000006,7.850000000000000,15.560000000000000,2.120000000000000,9.210000000000001,2.350000000000000,0.560000000000000,2.540000000000000,0.430000000000000,2.590000000000000,0.540000000000000,1.620000000000000,0.240000000000000,1.830000000000000,0.280000000000000,5.180000000000000,0.760000000000000,<d/l,1.320000000000000,<d/l,16.440000000000001,"1.33",<d/l,3037.059999999999945,16.969999999999999,2.260000000000000,25.980000000000000,2.830000000000000,6.990000000000000,<d/l,<d/l,"0.26","0.47","0.04",1.040000000000000,"0.09","0.4",<d/l
ASC-12,"554122","6833905","9.17","0.21",33.780000000000001,257.500000000000000,"0.71",100.530000000000001,15.890000000000001,27.050000000000001,4.510000000000000,"0.1",11.859999999999999,3.140000000000000,7.770000000000000,1.160000000000000,5.630000000000000,1.830000000000000,0.640000000000000,2.670000000000000,0.480000000000000,3.010000000000000,0.660000000000000,1.920000000000000,0.250000000000000,1.690000000000000,0.220000000000000,1.000000000000000,0.210000000000000,<d/l,0.750000000000000,<d/l,0.470000000000000,"0.1","289.75",4105.350000000000364,185.349999999999994,58.250000000000000,378.819999999999993,393.110000000000014,69.760000000000005,"0.07","0.45","0.22","0.12","0.03",0.490000000000000,<d/l,<d/l,<d/l
ASC-14,"554462","6834210","7.78","0.27",36.590000000000003,292.069999999999993,"0.48",58.289999999999999,19.649999999999999,32.560000000000002,5.000000000000000,<d/l,17.039999999999999,4.520000000000000,11.430000000000000,1.780000000000000,8.250000000000000,2.440000000000000,0.540000000000000,3.160000000000000,0.590000000000000,3.560000000000000,0.750000000000000,2.220000000000000,0.280000000000000,1.820000000000000,0.230000000000000,1.180000000000000,0.220000000000000,<d/l,0.860000000000000,<d/l,0.720000000000000,"0.12","331.01",4530.149999999999636,61.060000000000002,37.350000000000001,105.569999999999993,315.819999999999993,74.760000000000005,"0.29","0.73","0.2","0.11","0.03",0.990000000000000,"0.03",<d/l,<d/l
ASC-16,"554225","6834245","11.58","0.43",33.920000000000002,234.780000000000001,"2.12",34.930000000000000,15.910000000000000,23.800000000000001,3.710000000000000,"0.35",20.530000000000001,2.540000000000000,6.920000000000000,1.250000000000000,5.910000000000000,2.070000000000000,0.630000000000000,2.600000000000000,0.470000000000000,3.010000000000000,0.640000000000000,2.030000000000000,0.270000000000000,1.600000000000000,0.210000000000000,0.760000000000000,0.160000000000000,"0.17",0.360000000000000,"0.15",0.350000000000000,"0.19","255.84",3749.889999999999873,230.919999999999987,59.420000000000002,452.629999999999995,263.889999999999986,118.849999999999994,"0.07","0.71","0.15","0.09","0.06",3.370000000000000,<d/l,<d/l,<d/l
ASC-21,"554313","6834606","12.84","0.28",34.130000000000003,253.689999999999998,"1.33",74.109999999999999,16.629999999999999,22.289999999999999,3.350000000000000,"0.1",15.520000000000000,2.550000000000000,6.930000000000000,1.140000000000000,5.730000000000000,1.860000000000000,0.710000000000000,2.470000000000000,0.510000000000000,3.190000000000000,0.690000000000000,2.100000000000000,0.300000000000000,1.730000000000000,0.220000000000000,0.790000000000000,0.160000000000000,"0.04",0.320000000000000,<d/l,0.310000000000000,"0.09","244.45",3885.130000000000109,199.090000000000003,58.130000000000003,400.220000000000027,422.230000000000018,69.430000000000007,"0.06","0.47","0.16","0.08",<d/l,2.570000000000000,"0.04",<d/l,<d/l
ASC-24,"554193","6834812","11.06","0.23",35.659999999999997,274.620000000000005,<d/l,80.079999999999998,13.960000000000001,23.370000000000001,4.650000000000000,<d/l,4.780000000000000,2.370000000000000,6.100000000000000,0.940000000000000,4.900000000000000,1.540000000000000,0.630000000000000,2.390000000000000,0.430000000000000,2.640000000000000,0.560000000000000,1.600000000000000,0.220000000000000,1.400000000000000,0.180000000000000,0.660000000000000,0.130000000000000,<d/l,0.380000000000000,"0.01",0.240000000000000,"0.04","259.88",5638.090000000000146,1309.940000000000055,65.569999999999993,437.420000000000016,88.370000000000005,71.650000000000006,"0.27",n/a,"0.8","0.1","0.35",0.520000000000000,<d/l,<d/l,<d/l
ASC-25B,"554100","6834870","11.29","0.28",39.119999999999997,298.430000000000007,"1.79",80.480000000000004,15.910000000000000,33.789999999999999,6.180000000000000,<d/l,17.359999999999999,3.180000000000000,8.640000000000001,1.320000000000000,6.620000000000000,2.090000000000000,0.690000000000000,2.960000000000000,0.490000000000000,3.110000000000000,0.660000000000000,1.900000000000000,0.260000000000000,1.690000000000000,0.230000000000000,1.040000000000000,0.210000000000000,<d/l,0.500000000000000,<d/l,0.800000000000000,"0.13","302.19",5505.029999999999745,613.250000000000000,51.100000000000001,251.189999999999998,103.829999999999998,72.040000000000006,"0.22",n/a,"0.33","0.14","0.34",2.330000000000000,"0.09","0.15",<d/l
ASC-30,"553870","6835203","12.5",<d/l,34.609999999999999,262.639999999999986,"2.45",145.569999999999993,16.140000000000001,27.079999999999998,3.710000000000000,"0.22",17.760000000000002,3.160000000000000,8.330000000000000,1.260000000000000,6.090000000000000,1.970000000000000,1.290000000000000,2.670000000000000,0.470000000000000,3.020000000000000,0.660000000000000,1.840000000000000,0.270000000000000,1.660000000000000,0.200000000000000,1.000000000000000,0.180000000000000,"0.03",0.540000000000000,<d/l,0.350000000000000,<d/l,"264.61",4221.000000000000000,232.150000000000006,62.390000000000001,468.259999999999991,406.550000000000011,67.790000000000006,"0.11","0.5","0.16","0.1","0.03",1.160000000000000,"0.06",<d/l,<d/l
ASX-2A,"555172","6832830","16.37","0.71",33.020000000000003,263.120000000000005,"5.31",307.480000000000018,22.239999999999998,87.040000000000006,16.329999999999998,"0.35",137.400000000000006,11.090000000000000,27.879999999999999,3.910000000000000,17.399999999999999,4.380000000000000,1.410000000000000,4.550000000000000,0.700000000000000,3.960000000000000,0.810000000000000,2.320000000000000,0.370000000000000,1.870000000000000,0.270000000000000,2.160000000000000,0.920000000000000,"0.11",1.950000000000000,"0.07",1.150000000000000,"0.28","721.74",9372.250000000000000,36.189999999999998,45.039999999999999,88.950000000000003,54.320000000000000,52.490000000000002,"0.07","0.73","0.36","0.2","0.02",0.730000000000000,"0.03",<d/l,<d/l
DC-7A,"554923","6833083","19.85","0.37",41.920000000000002,297.149999999999977,"34.7",602.190000000000055,16.840000000000000,66.819999999999993,9.119999999999999,<d/l,32.770000000000003,5.560000000000000,12.690000000000000,1.700000000000000,7.280000000000000,2.070000000000000,0.720000000000000,2.670000000000000,0.480000000000000,3.080000000000000,0.660000000000000,1.860000000000000,0.260000000000000,1.790000000000000,0.260000000000000,1.730000000000000,0.360000000000000,"0.16",2.330000000000000,"0.03",1.310000000000000,"0.26","338.06",5035.600000000000364,1001.730000000000018,58.750000000000000,282.100000000000023,86.480000000000004,97.500000000000000,"3.36",n/a,"0.38",<d/l,"0.4",1.460000000000000,"1.35","0.27",<d/l
DC-8,"554360","6833180","30.29","2.02",11.130000000000001,67.480000000000004,"178.1",50.890000000000001,13.750000000000000,196.159999999999997,15.609999999999999,"2.71",1128.670000000000073,44.009999999999998,87.010000000000005,10.740000000000000,36.170000000000002,5.750000000000000,1.110000000000000,4.150000000000000,0.610000000000000,2.960000000000000,0.580000000000000,1.570000000000000,0.230000000000000,1.640000000000000,0.260000000000000,6.110000000000000,0.930000000000000,"0.89",16.050000000000001,"0.01",18.239999999999998,"3.04","267.97",3827.570000000000164,65.450000000000003,5.480000000000000,36.170000000000002,12.029999999999999,57.070000000000000,"0.22",n/a,"0.32",<d/l,"0.3",1.040000000000000,"0.08","0.99",<d/l
